"","Clade","numberTipsClade","numberTipsTrimmed","sackin","colless","Variance","I2","B1","B2","avgLadder","ILnumber","pitchforks","maxHeight","MaxWidth","DelW","Stairs1","Stairs2","Cherries","BS","descinm","getstattest","skewness","kurtosis","MeanPairwiseDist","MaxPairwiseDist","diameter","WienerIndex","betweenness","closeness","eigenvector","MeadianEp","MaxEp","MeanEp","allTrimmedSizes_3.4","Labels"
"156",17906,35,32,1.06066017177982,0.408796107873473,0.00814022997225377,13.0728327228327,17.8345238095238,16.7705544663919,0.0666666666666667,0.266666666666667,0.46875,0.290322580645161,12,4,0.580645161290323,0.677350079816873,12,25.6430835418263,-2.49873888248607,3.62190514985686,1.28281794218522,3.8000294846014,0.0472817503210616,0.309589863013699,15,13720,1167,0.00367647058823529,0.336159809132139,0.800408607032742,0.800408607032742,0.795316716199526,35,1.09375
"157",17940,30,30,1.55188057959797,1.0041580220928,0.00959174417164325,16.6529100529101,14.0968004218004,13.7203492748659,0.0892857142857143,0.428571428571429,0.5,0.482758620689655,8,2,0.689655172413793,0.533705085542808,9,37.3992040219821,-1.11112390976191,5.40233270822896,2.15799184820043,6.58833049529956,0.0545996761035008,0.39452,18,12962,1039,0.00354609929078014,0.364151668052012,0.801741752371605,0.801741752371605,0.798090784303843,30,1
"158",17969,75,8,1.32582521472478,0.530330085889911,0.00219706484824213,2.6,4.08333333333333,4.23650199921704,0,0.333333333333333,0,0.714285714285714,4,2,0.428571428571429,0.68469387755102,3,5.88007322825716,1.11971683612867,0.763141944905827,0.871090471207419,2.63336899936206,0.0224745787671233,0.134248219178082,6,356,57,0.03125,0.453999366621316,0.798319776112454,0.798319776112454,0.798319776112454,75,9.375
"159",17971,70,31,1.32096802780983,0.753183524628411,0.00396986321910659,18.012585342667,14.1698773448773,16.3736868612804,0.103448275862069,0.448275862068966,0.387096774193548,0.433333333333333,8,4,0.7,0.524518058431102,9,23.4473744444754,-2.01905167831669,4.25645481202945,1.3249217356596,3.87409680052824,0.0337549559391615,0.254796438356164,19,14456,1121,0.0033003300330033,0.360150822220066,0.798319776112454,0.798319776112454,0.794537444638918,70,2.25806451612903
"160",17972,57,57,1.29664746533736,0.817956824012097,0.00583846649097713,29.6261799070495,28.0763639138639,29.677509440803,0.0545454545454545,0.345454545454545,0.315789473684211,0.303571428571429,14,4,0.625,0.559563868058174,19,47.829955540278,-5.55394159937998,6.79678311418321,2.06011700033845,7.46355755972945,0.0415184564439216,0.372604383561644,25,64796,3869,0.00139082058414465,0.326170819539641,0.798319776112454,0.798319776112454,0.794565295071793,57,1
"161",18029,11,11,1.2334555005454,0.465972077983817,0.0143748784256149,7.11111111111111,4.36666666666667,5.52723612399172,0.388888888888889,0.777777777777778,0.545454545454545,0.6,4,2,0.8,0.52,2,10.6110241681722,1.43336509084337,1.6631320811539,0.47614290144593,1.47104256070203,0.0653458938073135,0.383561917808219,11,1010,109,0.0144927536231884,0.370873474440151,0.800322901341498,0.800322901341498,0.785958610885858,11,1
"162",18043,75,74,3.1182643636011,2.77894693159211,0.0100490495237626,52.3654254828677,22.8239163695196,38.2108338677017,0.0714285714285714,0.583333333333333,0.162162162162162,0.63013698630137,8,2,0.767123287671233,0.338866889767306,16,64.3336922472324,-1.95273178704721,19.300780492413,2.57747268331949,8.92800699020008,0.0559302722715311,0.531507561643835,48,190718,6809,0.000576036866359447,0.341804566090792,0.800350759214701,0.849736650450738,0.792960966493667,75,1.01351351351351
"163",18120,12,12,1.25092558324419,0.481125224324688,0.00501017912311196,3.8,6.78333333333333,6.24821087398044,0,0.2,0.25,0.545454545454545,4,2,0.454545454545455,0.708658008658009,5,10.0936793690897,0.576475625598754,0.714213270610632,1.03718925429542,2.72800056088937,0.0376142865296804,0.252054794520548,8,1104,141,0.015625,0.420104182344414,0.808620187591613,0.808620187591613,0.808620187591613,12,1
"164",18147,21,21,1.23656804467062,0.550740389643219,0.0286439361138493,12.0175438596491,9.71785714285714,10.6985552839751,0.118421052631579,0.578947368421053,0.714285714285714,0.45,8,2,0.65,0.580842988710636,5,18.7734136273045,0.68059135095112,4.59029556458811,1.38626254297052,3.4733128867775,0.0899951094958531,0.627399726027397,13,5254,487,0.00581395348837209,0.325796082205199,0.794729193403796,0.794729193403796,0.792385008155466,21,1
"165",18186,22,22,1.36642277300641,0.668674974024415,0.0070818127911974,10.047619047619,11.0011904761905,10.9047708163879,0.125,0.4,0.409090909090909,0.428571428571429,8,4,0.619047619047619,0.617135642135642,7,22.3968737179419,0.133119349716995,3.94186980664565,1.87878374425999,5.04696397423641,0.043546939884524,0.410958904109589,13,5502,515,0.00602409638554217,0.373571750047693,0.810103628763564,0.810103628763564,0.810103628763564,22,1
