,Clade,numberTipsClade,numberTipsTrimmed,sackin,colless,Variance,I2,B1,B2,avgLadder,ILnumber,pitchforks,maxHeight,MaxWidth,DelW,Stairs1,Stairs2,Cherries,BS,descinm,getstattest,skewness,kurtosis,MeanPairwiseDist,MaxPairwiseDist,diameter,WienerIndex,betweenness,closeness,eigenvector,allTrimmedSizes_3.4,Labels
52,12916,16,13,1.514758228,0.87471954,0.006412142,8.1,5.217857143,6.828470783,0.227272727,0.636363636,0.461538462,0.75,4,2,0.75,0.473710317,3,10.29332145,1.61897068,3.366770714,1.248446275,3.332895372,0.040593045,0.263010411,11,1478,161,0.012195122,0.38553056,16,1.230769231
53,12931,8,8,1.149048519,0.265165043,0.012018198,2.666666667,4.333333333,3.110586626,0,0.333333333,0.75,0.571428571,4,2,0.428571429,0.761904762,3,13.51617822,2.161831886,0.48641432,0.860182104,2.808234845,0.056720873,0.317807671,6,364,65,0.032258065,0.483604271,8,1
54,13200,46,22,1.075694523,0.358564841,0.005444135,9.8,11.7,11.61495629,0.15,0.4,0.545454545,0.333333333,10,4,0.619047619,0.664015909,7,16.64900286,-0.892714825,2.141449423,1.067126843,2.9884332,0.038876874,0.219175674,11,5426,551,0.006369427,0.387985863,46,2.090909091
55,13201,30,29,1.069349016,0.416213689,0.007202915,15.29757835,14.37619048,15.2070734,0.092592593,0.481481481,0.517241379,0.285714286,12,4,0.642857143,0.603018707,8,23.19685804,-1.027274543,4.233389191,1.906759479,6.639916693,0.045294987,0.326027973,14,11582,955,0.00390625,0.354137265,30,1.034482759
56,13254,21,9,1.148148148,0.333333333,0.007235841,3.928571429,4.583333333,4.747352256,0.285714286,0.428571429,0.666666667,0.625,6,2,0.625,0.666666667,3,6.8507161,0.717965357,-0.378377904,-0.054492812,1.880336119,0.041197167,0.210958904,8,526,81,0.024390244,0.45022522,21,2.333333333
57,13255,14,14,1.33630621,0.572702661,0.00511396,6.590909091,6.533333333,6.984663311,0.208333333,0.5,0.214285714,0.538461538,6,2,0.615384615,0.60646661,4,14.00164534,1.203270906,3.219636656,1.727538668,4.512085439,0.038482133,0.243835288,11,1788,191,0.010989011,0.371993486,14,1
58,13279,16,13,1.60009672,1.002727278,0.00555876,8.484848485,4.828968254,6.659750794,0.318181818,0.636363636,0.230769231,0.833333333,4,2,0.75,0.427882997,3,11.80425282,1.580758869,2.719069049,1.641543079,4.639578836,0.040657894,0.230134247,12,1518,173,0.012195122,0.412868118,16,1.230769231
59,13303,10,9,1.407407407,0.666666667,0.002696134,5.2,3.783333333,4.642032468,0.285714286,0.714285714,0.666666667,0.75,4,2,0.75,0.54389881,2,7.970078763,1.784732324,2.226847008,1.329658383,3.327468369,0.026585422,0.136986575,7,500,83,0.026315789,0.468583956,10,1.111111111
60,13369,170,168,1.006645664,0.609865621,0.011129695,90.09982275,82.565175,86.53230254,0.015729585,0.409638554,0.446428571,0.119760479,36,14,0.652694611,0.579552189,50,147.3943875,-17.79108705,20.78697982,1.738635205,6.347113376,0.057127919,0.775342274,33,824456,31979,0.000326052,0.241049648,170,1.011904762
61,13538,124,26,1.078638743,0.384689342,0.041941628,12.54089636,13.59285714,13.49363106,0.083333333,0.416666667,0.692307692,0.32,10,4,0.64,0.65101462,8,20.12692174,-0.534182926,4.420261269,1.553529572,4.236020284,0.074880397,0.980820822,13,8378,821,0.004950495,0.3726713,124,4.769230769
